attr;boolean;deprecated;tags;doc;url
enctype;0;0;form;Defines the content type of the form date when the method is POST.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
enterkeyhint;0;0;textarea,contenteditable;The enterkeyhint specifies what action label (or icon) to present for the enter key on virtual keyboards. The attribute can be used with form controls (such as the value of textarea elements), or in elements in an editing host (e.g., using contenteditable attribute).;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
for;0;0;label,output;Describes elements which belongs to this one.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
form;0;0;button,fieldset,input,keygen,label,meter,object,output,progress,select,textarea;Indicates the form that is the owner of the element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
formaction;0;0;input,button;Indicates the action of the element, overriding the action defined in the <form>.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
formenctype;0;0;button,input;If the button/input is a submit button (type="submit"), this attribute sets the encoding type to use during form submission. If this attribute is specified, it overrides the enctype attribute of the button's form owner.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
formmethod;0;0;button,input;If the button/input is a submit button (type="submit"), this attribute sets the submission method to use during form submission (GET, POST, etc.). If this attribute is specified, it overrides the method attribute of the button's form owner.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
formnovalidate;1;0;button,input;If the button/input is a submit button (type="submit"), this boolean attribute specifies that the form is not to be validated when it is submitted. If this attribute is specified, it overrides the novalidate attribute of the button's form owner.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
formtarget;0;0;button,input;If the button/input is a submit button (type="submit"), this attribute specifies the browsing context (for example, tab, window, or inline frame) in which to display the response that is received after submitting the form. If this attribute is specified, it overrides the target attribute of the button's form owner.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
headers;0;0;td,th;IDs of the <th> elements which applies to this element.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
height;0;0;canvas,embed,iframe,img,input,object,video;Specifies the height of elements listed here. For all other elements, use the CSS height property. Note: In some instances, such as <div>, this is a legacy attribute, in which case the CSS height property should be used instead.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
hidden;1;0;global;Prevents rendering of given element, while keeping child elements, e.g. script elements, active.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/hidden
high;0;0;meter;Indicates the lower bound of the upper range.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
href;0;0;a,area,base,link;The URL of a linked resource.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
hreflang;0;0;a,area,link;Specifies the language of the linked resource.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
http-equiv;0;0;meta;Defines a pragma directive.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
icon;0;1;command;Specifies a picture which represents the command.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
id;0;0;global;Often used with CSS to style a specific element. The value of this attribute must be unique.;https://developer.mozilla.org/en-US/docs/Web/HTML/Global_attributes/id
importance;0;0;iframe,img,link,script;Indicates the relative fetch priority for the resource.;https://developer.mozilla.org/en-US/docs/Web/HTML/Attributes
integrity;0;0;link,script;Specifies a Subresource Integrity value that allows browsers to verify what they fetch.;https://developer.mozilla.org/en-US/docs/Web/Security/Subresource_Integrity
intrinsicsize;0;0;img;This attribute tells the browser to ignore the actual intrinsic size of the image and pretend it’s the size specified in the attribute.;https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img#attr-intrinsicsize
